Running.Test.Number,Test.Number.in.Iteration,Cost.Centric.Buffer,Cost.Centric.PDI,Conductance.Centric.Buffer,Conductance.Centric.PDI,DEM.error,Stochasticticity.error.for.time,Conductance.Value.Great.House,Conductance.Value.Great.Kiva,Conductance.Value.Earthen.Mound,Conductance.Value.Herradura
120,20,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.048775617,0.00429283,0.003434264,0.002747411,0.002197929
121,21,0.894026264,26097484.02,8.248005786,37081779.72,0.961853478,0.05571879,0.001909648,0.001527719,0.001222175,0.00097774
122,22,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.056693268,0.003037205,0.002429764,0.001943811,0.001555049
123,23,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.049261084,0.002998414,0.002398731,0.001918985,0.001535188
124,24,0.894026264,26097484.02,8.248005786,37081779.72,0.961853478,0.070197713,0.0024073,0.00192584,0.001540672,0.001232538
125,25,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.013936639,0.003271302,0.002617041,0.002093633,0.001674906
126,1,0.695340617,13815556.34,10.20567929,22989506.02,0.331584244,0.091710002,0.003158887,0.00252711,0.002021688,0.00161735
127,2,0.694665611,10669431.74,3.445809763,4831812.766,0.331584244,0.069959351,0.001690954,0.001352764,0.001082211,0.000865769
128,3,0.694665611,10669431.74,12.72169832,28382534.45,0.331584244,0.052548491,0.003244204,0.002595363,0.00207629,0.001661032
129,4,0.694665611,10669431.74,12.72169945,28245202.55,0.331584244,0.083606411,0.004427475,0.00354198,0.002833584,0.002266867
130,5,0.694581194,10579680.95,15.47702218,22702030,0.331584244,0.024322571,0.003932027,0.003145621,0.002516497,0.002013198
131,6,0.694581194,10579680.95,0.694581185,10601320.35,0.331584244,0.058073876,0.00014075,0.0001126,9.01E-05,7.21E-05
132,7,0.694581194,10579680.95,15.47702218,22702030,0.331584244,0.075823712,0.003403926,0.002723141,0.002178512,0.00174281
133,8,0.694581194,10579680.95,10.04285097,6455822.99,0.331584244,0.027766849,0.002192412,0.00175393,0.001403144,0.001122515
134,9,0.694581194,10579680.95,10.042862,4708388.624,0.331584244,0.058174422,0.003156098,0.002524879,0.002019903,0.001615922
135,10,0.694581194,10579680.95,15.47702218,22702030,0.331584244,0.052966231,0.003683572,0.002946858,0.002357486,0.001885989
136,11,0.694581194,10579680.95,10.04286272,4595252.716,0.331584244,0.042061076,0.002581396,0.002065117,0.001652094,0.001321675
137,12,0.694581194,10579680.95,3.476556821,69100499.43,0.331584244,0.018168967,0.001228536,0.000982828,0.000786263,0.00062901
138,13,0.69189072,8026187.734,12.23178614,7191288.923,0.331584244,0.054447363,0.003432645,0.002746116,0.002196893,0.001757514
139,14,0.69189072,8026187.734,8.082409809,19586834.3,0.331584244,0.000903348,0.003116983,0.002493586,0.001994869,0.001595895
140,15,0.69189072,8026187.734,8.082409809,19586834.3,0.331584244,0.04117109,0.003084317,0.002467453,0.001973963,0.00157917
141,16,0.69189072,8026187.734,12.23178617,7191806.495,0.331584244,0.05125169,0.003720976,0.002976781,0.002381425,0.00190514
142,17,0.69189072,8026187.734,12.23178614,7191288.923,0.331584244,0.066388248,0.003433327,0.002746662,0.002197329,0.001757863
143,18,0.69189072,8026187.734,8.082404729,18582125.37,0.331584244,0.036705416,0.002482023,0.001985618,0.001588495,0.001270796
144,19,0.69189072,8026187.734,11.93194997,7359079.379,0.331584244,0.000288546,0.003273357,0.002618685,0.002094948,0.001675959
145,20,0.69189072,8026187.734,8.900173006,60667845.69,0.331584244,0.074501691,0.001544841,0.001235872,0.000988698,0.000790958
146,21,0.69189072,8026187.734,8.082404729,18582125.37,0.331584244,0.053454252,0.002535147,0.002028118,0.001622494,0.001297995
147,22,0.69189072,8026187.734,12.23178529,7305147.043,0.331584244,0.006266969,0.004528646,0.003622917,0.002898333,0.002318667
148,23,0.69189072,8026187.734,8.082409809,19586834.3,0.331584244,0.000324772,0.003000068,0.002400054,0.001920043,0.001536035
149,24,0.69189072,8026187.734,8.082401269,17898128.12,0.331584244,0.08538935,0.002068087,0.001654469,0.001323576,0.00105886
150,25,0.69189072,8026187.734,8.082409809,19586834.3,0.331584244,0.077175802,0.002912957,0.002330365,0.001864292,0.001491434
151,1,1.582511659,33987133.47,10.68597608,34024581.66,0.785399942,0.049741628,0.003330233,0.002664186,0.002131349,0.001705079
152,2,1.582511659,33987133.47,7.821155598,35334733.65,0.785399942,0.007584734,0.002900989,0.002320791,0.001856633,0.001485306
153,3,1.582511659,33987133.47,10.68597608,34024323.69,0.785399942,0.038405685,0.003679442,0.002943553,0.002354843,0.001883874
154,4,1.582511659,33987133.47,7.26193942,59934833.51,0.785399942,0.016699091,0.002247453,0.001797962,0.00143837,0.001150696
155,5,1.582511659,33987133.47,10.68597657,33963969.55,0.785399942,0.028778853,0.005247602,0.004198082,0.003358465,0.002686772
156,6,1.582511659,33987133.47,10.68597577,33978398.62,0.785399942,0.083933281,0.00282539,0.002260312,0.001808249,0.001446599
157,7,1.582511659,33987133.47,10.68597577,33978140.65,0.785399942,0.024228105,0.003858785,0.003087028,0.002469623,0.001975698
158,8,1.582511659,33987133.47,10.68597577,33978398.62,0.785399942,0.013170754,0.003003761,0.002403009,0.001922407,0.001537926
159,9,1.582511589,34054928.8,10.1266255,58651913.52,0.785399942,0.036015443,0.003122742,0.002498193,0.001998555,0.001598844
160,10,1.582511589,34054928.8,10.1266255,58651913.52,0.785399942,0.035888303,0.002481677,0.001985342,0.001588274,0.001270619
161,11,1.582511589,34054928.8,10.1266255,58651913.52,0.785399942,0.051139698,0.003326419,0.002661135,0.002128908,0.001703126
162,12,1.582511589,34054928.8,10.1266255,58651913.52,0.785399942,0.061775039,0.002586828,0.002069462,0.00165557,0.001324456
163,13,1.582511589,34054928.8,10.1266255,58651913.52,0.785399942,0.03369752,0.002396355,0.001917084,0.001533667,0.001226934
164,14,1.58150095,14494858.84,11.6053834,58703263.58,0.785399942,0.042050219,0.003134494,0.002507595,0.002006076,0.001604861
165,15,1.58150095,14494858.84,11.6053834,58703263.58,0.785399942,0.070117283,0.003306435,0.002645148,0.002116119,0.001692895
166,16,1.58150095,14494858.84,11.60537773,57924227.88,0.785399942,0.013219506,0.001934412,0.001547529,0.001238023,0.000990419
